opportunity_id,customer_key,channel_key,service_id,date_key,stage,stage_probability,expected_revenue_da,weighted_revenue_da,actual_revenue_da,is_converted,simulated_margin_da,source_file,sales_rep_key
O00001,C0001,CH01,S002,20260215,Lost,0.0,113000,0.0,0,False,0.0,website,SR11
O00002,C0002,CH01,S002,20260215,Lost,0.0,113000,0.0,0,False,0.0,website,SR11
O00003,C0003,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00004,C0004,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00005,C0005,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00006,C0006,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00007,C0007,CH01,S002,20260215,Meeting,0.4,113000,45200.0,0,False,0.0,website,SR11
O00008,C0008,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00009,C0009,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00010,C0010,CH01,S002,20260215,Lost,0.0,113000,0.0,0,False,0.0,website,SR11
O00011,C0011,CH01,S002,20260215,Proposal,0.7,113000,79100.0,0,False,0.0,website,SR11
O00012,C0012,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00013,C0013,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00014,C0014,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00015,C0015,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00016,C0016,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00017,C0017,CH01,S002,20260215,Lost,0.0,113000,0.0,0,False,0.0,website,SR11
O00018,C0018,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00019,C0019,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00020,C0020,CH01,S002,20260215,Meeting,0.4,113000,45200.0,0,False,0.0,website,SR11
O00021,C0021,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00022,C0022,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00023,C0023,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00024,C0024,CH01,S002,20260215,Proposal,0.7,113000,79100.0,0,False,0.0,website,SR11
O00025,C0025,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00026,C0026,CH01,S002,20260215,Meeting,0.4,113000,45200.0,0,False,0.0,website,SR11
O00027,C0027,CH01,S002,20260215,Lost,0.0,113000,0.0,0,False,0.0,website,SR11
O00028,C0028,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00029,C0029,CH01,S002,20260215,Proposal,0.7,113000,79100.0,0,False,0.0,website,SR11
O00030,C0030,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00031,C0031,CH01,S002,20260215,Won,1.0,113000,113000.0,113000,True,73450.0,website,SR11
O00032,C0032,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00033,C0033,CH01,S002,20260215,Meeting,0.4,113000,45200.0,0,False,0.0,website,SR11
O00034,C0034,CH01,S002,20260215,Lost,0.0,113000,0.0,0,False,0.0,website,SR11
O00035,C0035,CH01,S002,20260215,Lost,0.0,113000,0.0,0,False,0.0,website,SR11
O00036,C0036,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00037,C0037,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00038,C0038,CH01,S002,20260215,Lost,0.0,113000,0.0,0,False,0.0,website,SR11
O00039,C0039,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00040,C0040,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00041,C0041,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00042,C0042,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00043,C0043,CH01,S002,20260215,Meeting,0.4,113000,45200.0,0,False,0.0,website,SR11
O00044,C0044,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00045,C0045,CH01,S002,20260215,Proposal,0.7,113000,79100.0,0,False,0.0,website,SR11
O00046,C0046,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00047,C0047,CH01,S002,20260215,Lost,0.0,113000,0.0,0,False,0.0,website,SR11
O00048,C0048,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00049,C0049,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00050,C0050,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00051,C0051,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
O00052,C0052,CH01,S002,20260215,Lost,0.0,113000,0.0,0,False,0.0,website,SR11
O00053,C0053,CH01,S002,20260215,Proposal,0.7,113000,79100.0,0,False,0.0,website,SR11
O00054,C0054,CH01,S002,20260215,Lost,0.0,113000,0.0,0,False,0.0,website,SR11
O00055,C0002,CH01,S002,20260215,Contacted,0.1,113000,11300.0,0,False,0.0,website,SR11
